Card Type Code,Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
AX,American Express,American Express,341417671620692,Helen R Lucas,5798, 09/2020, 1,,it: 40100,
AX,n Express,41728739318206, Name: Rachel Turner,,e: 07/2028,: 19,1,186700,,
AX,American Express,American Express,344774454058244,Randall Z Lott,7026, 11/2021, 28,,it: 44800,
AX,American Express,American Express,345631531175020,Henry W Hewitt,0525, 05/2023, 25,,it: 78700,
AX,American Express,American Express,346077693838147,Rebecca Jenkins,2963, 02/2020, 22,,it: 65000,
AX,American Express,American Express,346715514167929,Marcus D Ashley,2302, 04/2021, 6,,it: 28400,
AX,American Express,American Express,347364406683575,Gerald O Lee,3614, 08/2022, 23,,it: 27400,
AX,American Express,American Express,370138166851022,Jeremy N White,9594, 07/2016, 4,,it: 199000,
AX,n Express,70760148157259, Name: Jesse J Perez,,e: 06/2032,: 25,3,68000,,
AX,n Express,71048488202599, Name: Craig Gonzalez,,e: 08/2025,: 1,0,30700,,
AX,American Express,American Express,371829323665854,Walter B Lopez,4580, 09/2012, 27,,it: 140400,
AX,n Express,74521213444907, Name: Howard C Dunlap,,e: 01/2027,: 28,7,187700,,
AX,n Express,79862859443935, Name: Cynthia Evans,,e: 08/2034,: 25,5,55700,,
AX,American Express,Bank of America,344850003945824,Christine E Kim,3819, 08/2013, 4,,it: 77700,
AX,American Express,USAA,345283519946202,Heather Wong,6812, 02/2020, 6,,it: 10700,
DC,Diners Club International,Diners Club,30018385606211,Amanda L Soto,751, 04/2020, 17,,it: 150100,
DC,Diners Club International,Diners Club,30074512207043,Louis Martinez,120, 07/2021, 26,,it: 19500,
DC,Diners Club International,Diners Club,30082494556063,Helen P Perry,709, 02/2020, 13,,it: 81900,
DC,Club,0136262165745, Name: Jeremy P Price,,e: 08/2028,: 26,5,47800,,
DC,Club,0179045289812, Name: Judith I Rollins,,e: 08/2031,: 24,7,85300,,
DC,Diners Club International,Diners Club,30183046434146,Eleanor Crane,332, 10/2017, 26,,it: 88300,
